tce_period,tce_duration,tce_depth,tce_model_snr,tce_bin_oedp_stat,tce_impact,tce_prad,av_training_set
0.83185,2.392,6.092,2.95,0.001097,0.926,0.5099,AFP
1.09524,2.122,34.53,10.6,0.374,0.2563,0.8916,UNK
0.719273,1.521,29.68,8.302,8.453999999999999e-24,0.7,1.455,UNK
0.831833,2.181,27.1,11.95,1.251e-05,0.09536,0.9062,AFP
622.408,12.01,161.3,3.719,0.01448,0.00319,2.114,UNK
8.88492,2.078,16310.0,473.3,0.03825,0.05677,10.57,PC
2.26211,7.509,29.41,9.239,0.001063,0.3,0.9107,NTP
5.0926,3.399,246.5,15.25,0.09946,0.3,1.16,AFP
8.46044,4.804,76500.0,2368.0,0.06057,0.9829,32.09,UNK
4.23022,4.606,28810.0,1311.0,0.0,0.9991,20.58,UNK
2.69191,5.53,40.43,11.97,5.598,0.2052,1.043,UNK
1.34629,1.626,31.94,11.52,0.0003344,0.9948,1.364,UNK
0.614378,1.448,129.3,10.86,6.39e-06,0.2898,1.554,UNK
21.7613,1.277,1221.0,101.3,1.714,0.318,2.492,AFP
0.940463,3.354,19.39,4.058,0.7662,0.712,0.8113,AFP
0.940463,3.332,111.3,15.23,0.04898,0.895,2.13,AFP
0.94052,3.188,79.63,18.36,0.0,0.1,1.528,AFP
0.778568,1.399,71.9,11.18,1.025e-05,0.9013,4.258,AFP
0.778574,1.361,94.81,14.42,0.00682,0.7002,4.513,AFP
4.28758,1.113,890.7,137.9,2.883,0.7064,2.616,PC
1.28453,4.175,62.76,10.3,0.0002115,0.9104,3.996,UNK
1.07861,3.461,26.43,9.234,0.02781,0.5,1.32,UNK
0.831777,2.349,24.27,8.812,0.04089,0.8744,0.9762,AFP
0.547626,1.408,14.14,5.218,5.934,0.4156,0.5786,NTP
0.748347,2.897,275.1,16.21,0.0002596,0.644,3.445,AFP
1.39175,3.33,22.04,8.124,1.587,0.5077,0.8991,NTP
1.1262,1.632,23050.0,663.3,11590.0,0.5078,10.37,AFP
0.629008,1.421,18.43,15.74,5.21e-06,0.1038,0.7839,AFP
0.674634,2.16,4.77,10.12,9.52e-08,0.9,0.505,NTP
1.34942,3.159,10.65,17.03,0.01343,0.3246,0.6806,AFP
1.34947,2.005,13.77,20.18,3.341e-30,0.7,0.8054,AFP
2.98032,8.03,23.09,8.974,0.000331,0.8989,0.802,NTP
3.79424,6.716,46.86,10.48,1.561,0.2008,1.856,UNK
27.2481,10.76,82.34,9.339,0.3427,0.004853,0.7486,PC
1.69146,2.232,60.83,13.29,2.457,0.9973,2.135,NTP
3.38294,4.822,33.27,6.253,0.5503,0.9,1.02,AFP
3.38292,7.093,42.58,11.8,0.1607,0.9584,1.237,AFP
0.862877,1.854,220.6,11.01,0.03658,0.9,2.548,UNK
10.3069,7.5,354100.0,-1.0,0.0,0.1,37.84,AFP
10.307,18.64,71520.0,1316.0,6.912e-07,0.9992,55.33,AFP
449.504,9.138,955.9,6.595,1.412,0.5014,2.618,UNK
13.4472,2.33,1343.0,102.6,0.1166,0.1,3.835,AFP
0.499972,1.385,70.02,6.968,0.0,0.7,2.214,AFP
26.0204,4.737,1149.0,22.53,0.4781,0.3372,3.059,PC
21.1653,15.21,183.0,8.8,0.002177,0.1083,1.581,UNK
0.668328,1.789,0.001231,0.001844,6.657e-07,0.9299,0.01124,UNK
3.51468,4.885,26.23,4.795,1.415,0.8842,0.9501,AFP
3.51349,7.943,32.21,8.384,0.00227,0.9426,1.11,AFP
2.4894,6.558,80.86,7.782,0.009881,0.9207,3.085,UNK
0.723891,2.489,54.92,6.405,2.442e-07,0.5038,2.257,AFP
0.968246,6.848,28.06,9.769,0.0004445,0.01462,0.9394,AFP
1.87905,5.695,9.616,9.827,0.07353,0.5005,1.472,AFP
1.87845,4.979,10.66,11.02,3.163e-06,0.9094,1.761,AFP
39.8415,7.328,4906.0,544.5,0.03149,0.9999,31.64,AFP
1.41352,4.822,55.95,7.039,0.1664,0.4955,1.294,NTP
4.24047,7.312,164.1,12.4,1.284,0.7026,2.293,NTP
2.82707,8.768,124.0,10.32,0.03576,0.7233,2.004,NTP
1.93658,6.319,67.94,9.857,0.8405,0.6929,0.8933,AFP
1.93652,6.076,69.77,11.81,1.994,0.03826,0.8469,AFP
0.968245,5.362,30.11,11.61,4.326e-05,0.004675,0.5441,AFP
0.968155,1.23,18.12,5.537,2.434e-05,0.991,0.6397,AFP
550.335,11.28,2197.0,6.192,2.955,0.1166,3.143,UNK
299.74,6.614,1501.0,4.783,1.305,0.5573,2.755,UNK
1.45433,5.705,17.88,8.096,0.08254,0.6996,0.9061,UNK
1.93859,7.168,41.9,10.72,1.069,0.2512,0.6293,NTP
8.18736,3.019,549.4,45.52,1.253e-06,0.3583,1.977,PC
76.051,6.691,409.8,14.03,0.08474,0.2298,1.686,PC
25.9341,4.779,421.7,36.34,0.3442,0.8502,2.866,PC
83.4463,6.621,492.0,28.78,0.2037,0.7151,2.915,PC
0.508591,1.489,21.16,2.289,1.457e-08,0.9003,2.009,UNK
0.904939,5.193,125.1,9.165,0.00519,0.07454,4.245,NTP
1.23358,4.5,214.5,-1.0,0.0,0.1,2.376,AFP
1.23355,4.36,147.6,12.18,2.806,0.4934,2.019,AFP
2.54043,4.918,192.5,9.774,1.072,0.9,2.772,UNK
1.07736,2.367,27.17,11.39,1.053e-10,0.9,0.844,UNK
3.23279,5.294,60.6,10.06,2.88e-09,0.9837,1.447,AFP
3.23213,6.282,27.88,7.269,0.8653,0.9051,0.8579,AFP
0.758263,2.344,38.8,13.81,5.867e-08,0.8992,1.124,AFP
1.69338,5.273,26.75,9.4,0.08536,0.2627,0.7539,UNK
0.564462,3.532,19.52,10.26,0.707,0.04668,0.6402,UNK
0.641049,1.891,26.4,21.75,0.0004732,0.7118,2.793,AFP
0.548762,1.342,137.4,14.48,0.0,0.7128,2.619,AFP
41.8668,5.656,159.7,11.4,0.5159,0.2896,1.068,PC
0.630084,1.11,86.57,10.6,0.001389,0.7073,1.122,AFP
0.630087,0.8888,91.77,10.16,0.009531,0.5165,1.118,AFP
0.941598,0.9807,481.3,49.56,0.07561,0.3418,1.843,AFP
5.49994,10.08,41850.0,4074.0,5.724,0.3557,30.09,AFP
2.74997,9.121,6821.0,698.8,0.0,0.6804,12.66,UNK
5.50026,15.24,186.3,21.43,9.137e-07,0.6968,2.098,AFP
